Geo Point;Geo Shape;CODE_EXPL;NOM_EXPL;ID_HASTUS;NOM_ARRET;ADRESSE;X_PHYS;Y_PHYS;X_PROJ;Y_PROJ;X_DECALE;Y_DECALE;CONC_LIGNE;CONC_PTY;CONC_MODE;CODE_INSEE;COMMUNE
43.47422117055165, 1.4450998984600412;"{""coordinates"": [1.445099898460041, 43.47422117055165], ""type"": ""Point""}";6192449487677451;tisseo;13761;Badel;CHEMIN DES CRÊTES;1574205.0;2253845.0;;;1574205.0;2253845.0;119;119;TAD;31227;GOYRANS
43.59311489434239, 1.4745852670879034;"{""coordinates"": [1.474585267087903, 43.59311489434239], ""type"": ""Point""}";6192449487677451;tisseo;433;Balansa;RUE DE LIMAYRAC;1576830.0;2267008.0;1576827.2;2267002.7;1576829.71167085;2267007.02336785;SC06;SC06/11 SC06/12;scolaire;31555;TOULOUSE
43.593452136714845, 1.4735364118973153;"{""coordinates"": [1.473536411897315, 43.593452136714845], ""type"": ""Point""}";6192449487677451;tisseo;431;Balansa;RUE DE LIMAYRAC;1576746.0;2267047.0;1576743.5;2267041.1;1576745.43835912;2267045.7089873;23 37;23/50 37/17;bus;31555;TOULOUSE
43.58889781638742, 1.5157595498986856;"{""coordinates"": [1.515759549898686, 43.58889781638742], ""type"": ""Point""}";6192449487677451;tisseo;24451;Balma Ribaute;ROUTE DE CASTRES;1580146.0;2266480.0;1580144.5;2266477.1;1580147.08190589;2266481.38179425;104 106 83 84 L01 SC06;104/2 106 83/5 84/45 L01/17 SC06/10 SC06/9;TAD bus lineo scolaire;31044;BALMA
43.6284611241963, 1.482364428227559;"{""coordinates"": [1.482364428227559, 43.6284611241963], ""type"": ""Point""}";6192449487677451;tisseo;10079;Balma-Gramont;INCONNU;1577529.0;2270923.0;1577521.1;2270925.1;1577526.05088597;2270924.40095653;68;68/5 68/6;bus;31044;BALMA
43.71457561209747, 1.4660340653885675;"{""coordinates"": [1.466034065388568, 43.71457561209747], ""type"": ""Point""}";6192449487677451;tisseo;30500;Barat;RUE DE BARAT;1576386.0;2280513.0;1576389.0;2280507.3;1576386.9837084;2280511.87543093;SC27;SC27/1 SC27/2;scolaire;31410;PECHBONNIEU
43.60685931875689, 1.4300507895286505;"{""coordinates"": [1.430050789528651, 43.60685931875689], ""type"": ""Point""}";6192449487677451;tisseo;980;Barcelone;ALLÉE DE BARCELONE;1573263.0;2268601.0;1573260.4;2268595.3;1573262.45182339;2268599.85960753;63 NCV;63/16 NCV/22;bus;31555;TOULOUSE
43.607019200489376, 1.4305546234174562;"{""coordinates"": [1.430554623417456, 43.607019200489376], ""type"": ""Point""}";6192449487677451;tisseo;450;Barcelone Leclerc;BOULEVARD DU MARÉCHAL LECLERC;1573304.0;2268618.0;1573306.3;2268616.6;1573301.90743145;2268618.98858567;L01;L01/17;lineo;31555;TOULOUSE
43.59542763161904, 1.419580816206206;"{""coordinates"": [1.419580816206206, 43.59542763161904], ""type"": ""Point""}";6192449487677451;tisseo;492;Barrière de Lombez;BOULEVARD GABRIEL KOENIGS;1572394.0;2267347.0;1572391.4;2267350.8;1572396.19999995;2267349.39999984;L14;L14/1;lineo;31555;TOULOUSE
43.578930606730346, 1.4232026463820724;"{""coordinates"": [1.423202646382072, 43.578930606730346], ""type"": ""Point""}";6192449487677451;tisseo;500;Barrière de Muret;ROUTE DE SEYSSES;1572652.0;2265509.0;1572657.5;2265507.2;1572653.02786404;2265509.43606798;L04;L04/39;lineo;31555;TOULOUSE
43.626866875693615, 1.4343568674667098;"{""coordinates"": [1.43435686746671, 43.626866875693615], ""type"": ""Point""}";6192449487677451;tisseo;511;Barrière de Paris;BOULEVARD PIERRE ET MARIE CURIE;1573652.0;2270817.0;1573651.1;2270811.2;1573652.43821932;2270816.01758955;41;41/5;bus;31555;TOULOUSE
43.62648609997797, 1.4328299212442153;"{""coordinates"": [1.432829921244215, 43.62648609997797], ""type"": ""Point""}";6192449487677451;tisseo;512;Barrière de Paris;BOULEVARD SILVIO TRENTIN;1573528.0;2270777.0;1573526.0;2270780.2;1573528.88293432;2270776.11482072;110 15;110/8 15/4;bus;31555;TOULOUSE
43.608734635534724, 1.3406625464787416;"{""coordinates"": [1.340662546478742, 43.608734635534724], ""type"": ""Point""}";6192449487677451;tisseo;16140;Bascule - Seycheron;RUE D'AUCH;1566052.0;2268948.0;1566054.8;2268942.2;1566053.21886117;2268946.94341649;25 L02;25/1 L02/8;bus lineo;31149;COLOMIERS
43.61799706273601, 1.2844506928869204;"{""coordinates"": [1.28445069288692, 43.61799706273601], ""type"": ""Point""}";6192449487677451;tisseo;19922;Basilique;RUE PRINCIPALE;1561536.0;2270068.0;1561539.4;2270066.0;1561535.45323891;2270069.06970307;32;32/5;bus;31417;PIBRAC
43.57014051651363, 1.3923357143321284;"{""coordinates"": [1.392335714332128, 43.57014051651363], ""type"": ""Point""}";6192449487677451;tisseo;40003;Basso Cambo;INCONNU;1570140.0;2264574.0;1570135.5;2264573.9;1570140.49980071;2264573.94464107;A;A/3;metro;31555;TOULOUSE
