id_mutation,distance_transport_m,est_metro_proche,mode_arret_proche
137,156.3,0,lineo scolaire
138,106.6,0,bus
139,53.8,0,bus
140,261.8,0,bus
141,53.6,0,bus
142,46.5,0,bus
143,84.7,0,bus
144,41.0,1,metro
145,93.2,0,bus
146,43.3,0,bus
147,46.5,0,bus
148,193.6,0,bus
149,60.5,0,bus
150,176.0,0,bus
151,65.4,0,bus
152,30.9,0,bus
153,139.2,0,lineo
154,93.0,0,bus
155,225.6,0,bus lineo
156,69.2,0,bus
157,97.2,0,bus
158,158.5,0,bus
159,125.1,0,bus
160,97.2,0,bus
161,153.9,0,bus
162,131.7,0,bus
163,310.2,0,bus
164,245.9,0,bus
165,310.8,1,metro
166,190.7,0,bus lineo
167,226.1,0,bus
168,16.8,0,bus
169,276.8,0,bus
170,250.1,0,bus
171,55.6,0,bus lineo
172,22.6,0,bus
173,227.7,0,bus lineo scolaire
174,55.8,0,bus
175,116.9,0,bus
176,133.9,0,bus lineo
177,220.9,0,bus
178,91.6,0,tram
179,72.7,0,bus
180,264.5,0,bus
181,32.2,0,bus
182,267.3,0,lineo scolaire
183,32.0,0,bus
184,191.2,0,bus lineo
185,71.0,0,lineo scolaire
186,95.7,0,bus
187,115.5,0,lineo
188,99.5,0,bus
189,134.8,0,bus lineo
190,233.7,0,bus
191,26.0,0,bus
192,163.0,0,bus lineo
193,184.0,1,metro
194,289.5,0,lineo scolaire
195,22.3,0,bus
196,159.5,0,bus
197,334.8,0,bus
198,269.5,0,bus lineo scolaire
199,66.6,0,bus
200,138.8,0,bus scolaire
201,43.7,0,bus
202,49.0,0,bus
203,52.5,0,bus
204,118.1,0,bus
205,118.1,0,bus
206,320.9,0,lineo
207,353.3,0,bus
208,156.9,0,bus
209,202.3,0,bus
210,216.3,1,metro
211,91.1,0,lineo scolaire
212,84.6,0,bus
213,192.5,0,lineo scolaire
214,254.6,0,bus
215,254.6,0,bus
216,310.8,0,scolaire
217,240.7,0,lineo
218,325.4,0,bus
219,156.0,0,bus
220,156.0,0,bus
221,102.1,0,bus lineo
222,16.3,0,bus scolaire
223,151.2,0,bus
224,157.5,0,lineo scolaire
225,157.5,0,lineo scolaire
226,191.9,0,bus
227,80.1,0,bus
228,174.9,0,bus
229,149.6,0,bus
230,109.7,0,bus
231,56.0,0,lineo
